,CCY,CONVICTION,SIGNAL,TYPE,Date
2017-02-23,GBPUSD Curncy,0.545542386058,BUY,ENGULF,Today
2017-02-23,XAUUSD Curncy,0.545534591195,BUY,ENGULF,Today
2017-02-21,EURUSD Curncy,0.573921065087,SELL,ENGULF,2 day(s) ago
2017-02-21,EURAUD Curncy,0.630621164325,SELL,ENGULF,2 day(s) ago
2017-02-21,EURGBP Curncy,0.594669199755,SELL,ENGULF,2 day(s) ago
2017-02-21,USDCHF Curncy,0.560109408741,BUY,ENGULF,2 day(s) ago
2017-02-21,EURCAD Curncy,0.517543859649,SELL,ENGULF,2 day(s) ago
2017-02-17,EURJPY Curncy,0.54893263604,SELL,ENGULF,6 day(s) ago
2017-02-17,GBPJPY Curncy,0.595516488746,SELL,ENGULF,6 day(s) ago
2017-02-16,EURCAD Curncy,0.521937536148,BUY,ENGULF,7 day(s) ago
2017-02-16,NZDJPY Curncy,0.531205304816,SELL,ENGULF,7 day(s) ago
2017-02-16,EURAUD Curncy,0.62891699282,BUY,ENGULF,7 day(s) ago
2017-02-16,EURGBP Curncy,0.564199172577,BUY,ENGULF,7 day(s) ago
2017-02-16,USDCHF Curncy,0.547884652391,SELL,ENGULF,7 day(s) ago
2017-02-16,EURUSD Curncy,0.582172277225,BUY,ENGULF,7 day(s) ago
2017-02-16,EURNZD Curncy,0.574042111797,BUY,ENGULF,7 day(s) ago
2017-02-15,EURNZD Curncy,0.550443280375,SELL,ENGULF,8 day(s) ago
2017-02-15,ES1 INDEX,0.561691086691,BUY,ENGULF,8 day(s) ago
2017-02-15,NZDJPY Curncy,0.531205304816,BUY,ENGULF,8 day(s) ago
2017-02-14,EURAUD Curncy,0.633290469249,SELL,ENGULF,9 day(s) ago
2017-02-14,NH1 INDEX,0.875,SELL,HAMMER,9 day(s) ago
2017-02-13,EURGBP Curncy,0.594669199755,SELL,ENGULF,10 day(s) ago
2017-02-13,GBPJPY Curncy,0.569984107852,BUY,ENGULF,10 day(s) ago
2017-02-10,EURAUD Curncy,0.634713861319,SELL,INSIDEBAR,13 day(s) ago
2017-02-09,GBPJPY Curncy,0.569892473118,BUY,ENGULF,14 day(s) ago
2017-02-09,EURJPY Curncy,0.54893263604,BUY,ENGULF,14 day(s) ago
2017-02-09,USDCHF Curncy,0.547884652391,BUY,ENGULF,14 day(s) ago
2017-02-09,XAUUSD Curncy,0.545534591195,SELL,ENGULF,14 day(s) ago
2017-02-08,NZDJPY Curncy,0.537738631489,SELL,ENGULF,15 day(s) ago
2017-02-08,GBPCAD Curncy,0.708333333333,SELL,HAMMER,15 day(s) ago
2017-02-08,EURUSD Curncy,0.714285714286,BUY,HAMMER,15 day(s) ago
2017-02-07,EURGBP Curncy,0.594669199755,SELL,ENGULF,16 day(s) ago
2017-02-07,USDCAD Curncy,0.596612021858,BUY,ENGULF,16 day(s) ago
2017-02-07,XAUUSD Curncy,1.0,SELL,HAMMER,16 day(s) ago
2017-02-07,USDTHB Curncy,0.744388327722,BUY,HAMMER,16 day(s) ago
2017-02-06,XAUUSD Curncy,0.615990703915,BUY,ENGULF,17 day(s) ago
2017-02-06,EURJPY Curncy,0.549026463785,SELL,ENGULF,17 day(s) ago
2017-02-06,NZDCAD Curncy,0.517988064791,BUY,INSIDEBAR,17 day(s) ago
2017-02-02,EURAUD Curncy,0.634713861319,SELL,INSIDEBAR,21 day(s) ago
2017-02-02,EURAUD Curncy,0.62891699282,SELL,ENGULF,21 day(s) ago
2017-02-02,GBPUSD Curncy,0.545542386058,SELL,ENGULF,21 day(s) ago
2017-01-31,EURAUD Curncy,0.610301815961,BUY,ENGULF,23 day(s) ago
2017-01-31,GBPCHF Curncy,0.644444444444,BUY,HAMMER,23 day(s) ago
2017-01-31,EURUSD Curncy,0.573921065087,BUY,ENGULF,23 day(s) ago
