,CCY,SIGNAL,TYPE,Date
2017-02-17,AUDJPY Curncy,SELL,HAMMER,This week
2017-02-17,KWN+1M Curncy,BUY,HAMMER,This week
2017-02-17,CADJPY Curncy,SELL,HAMMER,This week
2017-02-10,AUDNZD Curncy,BUY,INSIDEBAR,1 week(s) ago
2017-02-10,NZDCAD Curncy,SELL,HAMMER,1 week(s) ago
2017-02-10,ES1 INDEX,BUY,INSIDEBAR,1 week(s) ago
2017-02-10,AUDJPY Curncy,BUY,HAMMER,1 week(s) ago
2017-02-10,CADJPY Curncy,BUY,HAMMER,1 week(s) ago
2017-02-10,NZDUSD Curncy,SELL,HAMMER,1 week(s) ago
2017-02-10,AUDNZD Curncy,BUY,ENGULF,1 week(s) ago
2017-02-10,EURNZD Curncy,BUY,HAMMER,1 week(s) ago
2017-02-03,AUDNZD Curncy,BUY,HAMMER,2 week(s) ago
2017-02-03,EURCHF Curncy,BUY,HAMMER,2 week(s) ago
2017-02-03,IRN+1M Curncy,SELL,INSIDEBAR,2 week(s) ago
2017-02-03,NTN+1M Curncy,SELL,ENGULF,2 week(s) ago
2017-01-27,GBPCHF Curncy,BUY,INSIDEBAR,3 week(s) ago
2017-01-27,USDJPY Curncy,BUY,HAMMER,3 week(s) ago
2017-01-27,CCN+1M Curncy,BUY,HAMMER,3 week(s) ago
2017-01-27,AUDNZD Curncy,SELL,INSIDEBAR,3 week(s) ago
2017-01-27,EURGBP Curncy,SELL,INSIDEBAR,3 week(s) ago
2017-01-27,KWN+1M Curncy,BUY,HAMMER,3 week(s) ago
2017-01-27,MRN+1M Curncy,SELL,INSIDEBAR,3 week(s) ago
2017-01-27,NTN+1M Curncy,BUY,HAMMER,3 week(s) ago
2017-01-27,CADJPY Curncy,BUY,HAMMER,3 week(s) ago
2017-01-27,GBPJPY Curncy,BUY,INSIDEBAR,3 week(s) ago
2017-01-27,EURJPY Curncy,BUY,HAMMER,3 week(s) ago
2017-01-27,ES1 INDEX,BUY,INSIDEBAR,3 week(s) ago
2017-01-27,USDSGD Curncy,BUY,HAMMER,3 week(s) ago
2017-01-27,NH1 INDEX,BUY,HAMMER,3 week(s) ago
2017-01-20,GBPUSD Curncy,BUY,ENGULF,4 week(s) ago
2017-01-20,EURJPY Curncy,BUY,HAMMER,4 week(s) ago
