,CCY,SIGNAL,TYPE,Date
2017-02-27,NH1 INDEX,BUY,HAMMER,Today
2017-02-27,GBPCAD Curncy,BUY,HAMMER,Today
2017-02-27,ES1 INDEX,BUY,INSIDEBAR,Today
2017-02-27,GBPJPY Curncy,BUY,HAMMER,Today
2017-02-27,EURCHF Curncy,BUY,ENGULF,Today
2017-02-27,EURGBP Curncy,BUY,INSIDEBAR,Today
2017-02-27,XAUUSD Curncy,SELL,HAMMER,Today
2017-02-27,USDCHF Curncy,BUY,HAMMER,Today
2017-02-27,USDCAD Curncy,BUY,ENGULF,Today
2017-02-24,GBPJPY Curncy,SELL,INSIDEBAR,3 day(s) ago
2017-02-24,NZDJPY Curncy,SELL,INSIDEBAR,3 day(s) ago
2017-02-24,AUDJPY Curncy,SELL,INSIDEBAR,3 day(s) ago
2017-02-24,GBPAUD Curncy,SELL,HAMMER,3 day(s) ago
2017-02-24,AUDCAD Curncy,SELL,INSIDEBAR,3 day(s) ago
2017-02-24,USDCHF Curncy,BUY,HAMMER,3 day(s) ago
2017-02-24,EURJPY Curncy,SELL,INSIDEBAR,3 day(s) ago
2017-02-24,EURUSD Curncy,SELL,HAMMER,3 day(s) ago
2017-02-24,IRN+1M Curncy,BUY,HAMMER,3 day(s) ago
2017-02-23,AUDNZD Curncy,SELL,INSIDEBAR,4 day(s) ago
2017-02-23,USDCNH Curncy,SELL,INSIDEBAR,4 day(s) ago
2017-02-23,MRN+1M Curncy,SELL,ENGULF,4 day(s) ago
2017-02-23,MRN+1M Curncy,SELL,INSIDEBAR,4 day(s) ago
2017-02-23,USDJPY Curncy,SELL,ENGULF,4 day(s) ago
2017-02-23,GBPUSD Curncy,BUY,ENGULF,4 day(s) ago
2017-02-23,GBPNZD Curncy,BUY,HAMMER,4 day(s) ago
2017-02-22,EURJPY Curncy,BUY,HAMMER,5 day(s) ago
2017-02-22,GBPCHF Curncy,SELL,HAMMER,5 day(s) ago
2017-02-22,EURGBP Curncy,BUY,HAMMER,5 day(s) ago
2017-02-22,AUDNZD Curncy,SELL,HAMMER,5 day(s) ago
2017-02-22,GBPNZD Curncy,SELL,HAMMER,5 day(s) ago
2017-02-22,NZDCAD Curncy,BUY,ENGULF,5 day(s) ago
2017-02-22,GBPAUD Curncy,SELL,HAMMER,5 day(s) ago
2017-02-22,GBPAUD Curncy,SELL,INSIDEBAR,5 day(s) ago
2017-02-22,NZDCAD Curncy,BUY,HAMMER,5 day(s) ago
2017-02-21,NTN+1M Curncy,SELL,HAMMER,6 day(s) ago
2017-02-21,EURAUD Curncy,SELL,ENGULF,6 day(s) ago
